PCode,PCode Name,Governorate,District,Cadastral,Local Name,Latitude,Longitude,Shelter Type,Status,Number of tents,Number of Individuals,Date of update,Updated By,Updated On,Discovery Date,Date the site was created,Number of Latrines,Number of 1000 Litre Tanks,Type of Water Source,Waste Disposal,Type of Contract
#loc+code,#loc,#adm1,#adm2,#adm3,#loc+localname,#geo+lat,#geo+lon,#shelter+type,#status,#shelter+tents,#population,#date,#org,#date+updated,#date+discovered,#date+created,#wash+latrines,#wash+water+tanks,#wash+watersource,#wash+wastedisposal,#shelter+contracttype
51227-01-024,Taanayel 024,Bekaa,Zahle,Taanayel,,33.784,35.8833,IS- Informal Settlement,Less than 4,2,14,12/22/15,Medair,Last Update - 2015,4/28/15,7/7/14,2,2,Water Trucking,Burn it,Verbal
51227-01-026,Taanayel 026,Bekaa,Zahle,Taanayel,,33.7802,35.8834,IS- Informal Settlement,Less than 4,3,25,12/22/15,Medair,Last Update - 2015,7/23/15,5/15/15,0,0,Others,Municipality Collection,Verbal
51227-01-027,Taanayel 027,Bekaa,Zahle,Taanayel,,33.779,35.8853,IS- Informal Settlement,Less than 4,1,11,12/22/15,Medair,Last Update - 2015,8/24/15,,1,1,Others,Municipality Collection,Verbal
51227-01-028,Taanayel 028,Bekaa,Zahle,Taanayel,,33.7794,35.8802,IS- Informal Settlement,Less than 4,3,19,12/22/15,Medair,Last Update - 2015,8/24/15,7/6/15,3,3,Others,Burn it,Verbal
51227-01-029,Taanayel 029,Bekaa,Zahle,Taanayel,,33.7951,35.8908,IS- Informal Settlement,Active,4,31,12/19/15,Medair,Last Update - 2015,8/30/15,7/4/15,4,4,Water Trucking,Dump it outside the camp,Verbal
51227-01-030,Taanayel 030,Bekaa,Zahle,Taanayel,,33.7984,35.8849,IS- Informal Settlement,Less than 4,3,10,12/19/15,Medair,Last Update - 2015,8/30/15,7/6/15,2,2,Others,Municipality Collection,Verbal
51227-01-031,Taanayel 031,Bekaa,Zahle,Taanayel,,33.7948,35.8815,IS- Informal Settlement,Less than 4,2,12,12/22/15,Medair,Last Update - 2015,8/30/15,6/4/15,1,1,Water Trucking,Dump it outside the camp,None
51227-01-032,Taanayel 032,Bekaa,Zahle,Taanayel,,33.77888,35.8806,IS- Informal Settlement,Active,6,35,12/22/15,Medair,Last Update - 2015,10/9/15,,4,4,Borehole,Dump it outside the camp,Verbal
51227-01-033,Taanayel 033,Bekaa,Zahle,Taanayel,,33.77754,35.87783,IS- Informal Settlement,Less than 4,1,7,12/22/15,Medair,Last Update - 2015,10/9/15,10/9/14,1,1,Water Trucking,Dump it outside the camp,None
51227-01-034,Taanayel 034,Bekaa,Zahle,Taanayel,,33.79504,35.88694,IS- Informal Settlement,Active,8,51,12/18/15,Medair,Last Update - 2015,11/20/15,11/19/12,4,8,Borehole,Municipality Collection,Verbal
51227-01-035,Taanayel 035,Bekaa,Zahle,Taanayel,,33.77726,35.88633,IS- Informal Settlement,Active,17,145,2/21/16,Medair,First Update - 2016,11/25/15,10/31/15,16,18,Water Trucking,Burn it,None
51227-01-036,Taanayel 036,Bekaa,Zahle,Taanayel,,33.78766,35.88329,IS- Informal Settlement,Less than 4,1,5,12/22/15,Medair,Last Update - 2015,12/1/15,11/1/15,1,1,Borehole,Dump it outside the camp,Verbal
51227-01-037,Taanayel 037,Bekaa,Zahle,Taanayel,,33.77868,35.88511,IS- Informal Settlement,Active,6,39,12/29/15,Medair,Last Update - 2015,12/29/15,12/28/15,3,3,Water Trucking,Municipality Collection,Other
51227-01-038,Taanayel 038,Bekaa,Zahle,Taanayel,,33.77899,35.88723,IS- Informal Settlement,Less than 4,2,23,2/11/16,Medair,First Update - 2016,2/11/16,1/30/16,3,2,Water Trucking,Dump it outside the camp,Verbal
51231-01-001,Saadnayel 001,Bekaa,Zahle,Saadnayel,Saadnayel  1,33.8152,35.8985,IS- Informal Settlement,Active,79,478,12/19/15,Medair,Last Update - 2015,5/19/14,1/12/13,57,57,Water Trucking,Municipality Collection,None
51231-01-002,Saadnayel 002,Bekaa,Zahle,Saadnayel,Saadnayel  2,33.8075,35.8938,IS- Informal Settlement,Active,4,14,12/22/15,Medair,Last Update - 2015,5/12/14,12/17/13,2,2,Borehole,Municipality Collection,Verbal
51231-01-003,Saadnayel 003,Bekaa,Zahle,Saadnayel,Saadnayel  3,33.8146,35.8964,IS- Informal Settlement,Active,27,151,12/22/15,Medair,Last Update - 2015,5/12/14,8/11/11,4,4,Others,Dump it outside the camp,Written
51231-01-004,Saadnayel 004,Bekaa,Zahle,Saadnayel,Saadnayel/ al sahel 4,33.8136,35.8928,IS- Informal Settlement,Active,21,125,12/22/15,Medair,Last Update - 2015,5/19/14,3/12/13,11,11,Water Trucking,Municipality Collection,Verbal
51231-01-005,Saadnayel 005,Bekaa,Zahle,Saadnayel,Saadnayel 8,33.8095,35.9,IS- Informal Settlement,Active,24,155,12/22/15,Medair,Last Update - 2015,5/12/14,3/13/13,15,15,Others,Municipality Collection,Verbal
51231-01-006,Saadnayel 006,Bekaa,Zahle,Saadnayel,Saadnayel 9,33.811,35.9005,IS- Informal Settlement,Less than 4,2,13,12/19/15,Medair,Last Update - 2015,5/12/14,11/13/14,2,2,Water Trucking,Municipality Collection,Verbal
51231-01-007,Saadnayel 007,Bekaa,Zahle,Saadnayel,Saadnayel 10,33.8147,35.89,IS- Informal Settlement,Active,21,96,12/22/15,Medair,Last Update - 2015,5/12/14,3/11/11,3,3,Water Trucking,Municipality Collection,Verbal
51231-01-008,Saadnayel 008,Bekaa,Zahle,Saadnayel,Saadnayel 13,33.802,35.9022,IS- Informal Settlement,Active,29,171,12/19/15,Medair,Last Update - 2015,5/12/14,7/13/11,31,31,Borehole,Municipality Collection,Verbal
51231-01-009,Saadnayel 009,Bekaa,Zahle,Saadnayel,Saadnayel others,33.8131,35.8867,IS- Informal Settlement,Active,10,60,12/22/15,Medair,Last Update - 2015,5/12/14,4/11/13,11,11,Water Trucking,Dump it outside the camp,Verbal
51231-01-010,Saadnayel 010,Bekaa,Zahle,Saadnayel,saadneyil,33.8057,35.9045,IS- Informal Settlement,Active,19,102,12/19/15,Medair,Last Update - 2015,5/12/14,11/13/14,13,13,Others,Municipality Collection,Verbal
51231-01-012,Saadnayel 012,Bekaa,Zahle,Saadnayel,saadneyil,33.8059,35.9064,IS- Informal Settlement,Active,12,72,12/19/15,Medair,Last Update - 2015,5/12/14,6/13/12,7,7,Others,Municipality Collection,Verbal
51231-01-013,Saadnayel 013,Bekaa,Zahle,Saadnayel,,33.81296,35.90007,IS- Informal Settlement,Active,22,91,12/18/15,Medair,Last Update - 2015,5/12/14,7/11/12,9,9,Water Trucking,Municipality Collection,Verbal
51231-01-014,Saadnayel 014,Bekaa,Zahle,Saadnayel,saadneyil,33.811,35.9035,IS- Informal Settlement,Active,18,106,12/19/15,Medair,Last Update - 2015,5/12/14,3/13/13,8,8,Water Trucking,Municipality Collection,Verbal
51231-01-015,Saadnayel 015,Bekaa,Zahle,Saadnayel,Saadneil,33.8134,35.8857,IS- Informal Settlement,Active,17,95,12/22/15,Medair,Last Update - 2015,5/12/14,8/12/13,0,0,Water Trucking,Municipality Collection,Verbal
51231-01-016,Saadnayel 016,Bekaa,Zahle,Saadnayel,Saadneil,33.8125,35.8857,IS- Informal Settlement,Active,20,126,12/22/15,Medair,Last Update - 2015,5/12/14,3/12/13,14,14,Water Trucking,Municipality Collection,Verbal
51231-01-017,Saadnayel 017,Bekaa,Zahle,Saadnayel,Saadneil,33.8128,35.8861,IS- Informal Settlement,Less than 4,2,9,12/22/15,Medair,Last Update - 2015,8/21/14,3/12/12,2,2,Water Trucking,Municipality Collection,Verbal
51231-01-018,Saadnayel 018,Bekaa,Zahle,Saadnayel,saadneyil,33.8128,35.8875,IS- Informal Settlement,Active,8,40,12/22/15,Medair,Last Update - 2015,5/12/14,6/11/11,8,8,Water Trucking,Dump it outside the camp,Verbal
51231-01-019,Saadnayel 019,Bekaa,Zahle,Saadnayel,al faida,33.8142,35.9052,IS- Informal Settlement,Active,44,311,12/19/15,Medair,Last Update - 2015,5/12/14,4/12/12,52,52,Borehole,Municipality Collection,Verbal
51231-01-021,Saadnayel 021,Bekaa,Zahle,Saadnayel,saadneyel,33.8141,35.8952,IS- Informal Settlement,Active,55,340,12/22/15,Medair,Last Update - 2015,5/12/14,3/12/13,55,55,Others,Municipality Collection,Verbal
51231-01-022,Saadnayel 022,Bekaa,Zahle,Saadnayel,saadneyil,33.8021,35.9063,IS- Informal Settlement,Active,60,303,12/19/15,Medair,Last Update - 2015,5/12/14,1/13/12,31,31,Borehole,Municipality Collection,Verbal
51231-01-023,Saadnayel 023,Bekaa,Zahle,Saadnayel,saadneyil,33.8166,35.8772,IS- Informal Settlement,Active,18,95,12/22/15,Medair,Last Update - 2015,5/12/14,3/12/11,18,18,Others,Burn it,Verbal
51231-01-024,Saadnayel 024,Bekaa,Zahle,Saadnayel,saadneyel,33.8089,35.89,IS- Informal Settlement,Active,10,65,12/22/15,Medair,Last Update - 2015,5/12/14,1/12/13,7,7,Water Trucking,Municipality Collection,Verbal
51231-01-025,Saadnayel 025,Bekaa,Zahle,Saadnayel,faida,33.8137,35.9042,IS- Informal Settlement,Active,28,173,12/19/15,Medair,Last Update - 2015,5/12/14,2/12/13,26,26,Water Trucking,Municipality Collection,Verbal
51231-01-026,Saadnayel 026,Bekaa,Zahle,Saadnayel,,33.8021,35.9043,IS- Informal Settlement,Active,7,32,12/19/15,Medair,Last Update - 2015,8/21/14,6/24/14,4,4,Water Trucking,Municipality Collection,Verbal
51231-01-027,Saadnayel 027,Bekaa,Zahle,Saadnayel,,33.8067,35.9053,IS- Informal Settlement,Active,8,63,12/19/15,Medair,Last Update - 2015,5/12/14,10/13/13,4,4,Water Trucking,Municipality Collection,Verbal
51231-01-028,Saadnayel 028,Bekaa,Zahle,Saadnayel,,33.8181,35.889,IS- Informal Settlement,Less than 4,3,21,12/22/15,Medair,Last Update - 2015,5/12/14,1/17/13,1,1,Borehole,Municipality Collection,Verbal
51231-01-029,Saadnayel 029,Bekaa,Zahle,Saadnayel,,33.8063,35.8875,IS- Informal Settlement,Active,46,258,12/22/15,Medair,Last Update - 2015,5/12/14,1/11/13,35,35,Others,Municipality Collection,Verbal
51231-01-030,Saadnayel 030,Bekaa,Zahle,Saadnayel,,33.8077,35.8868,IS- Informal Settlement,Active,14,74,12/22/15,Medair,Last Update - 2015,5/12/14,6/12/13,14,14,Others,Municipality Collection,Verbal
51231-01-031,Saadnayel 031,Bekaa,Zahle,Saadnayel,,33.809,35.886,IS- Informal Settlement,Active,7,38,12/22/15,Medair,Last Update - 2015,5/12/14,6/12/13,6,6,Water Trucking,Municipality Collection,Verbal
51231-01-032,Saadnayel 032,Bekaa,Zahle,Saadnayel,,33.8106,35.8834,IS- Informal Settlement,Active,21,101,12/22/15,Medair,Last Update - 2015,5/12/14,4/11/15,22,22,Water Trucking,Municipality Collection,Verbal
51231-01-034,Saadnayel 034,Bekaa,Zahle,Saadnayel,,33.8257,35.8804,IS- Informal Settlement,Active,8,41,12/22/15,Medair,Last Update - 2015,5/12/14,7/12/13,6,6,Others,Municipality Collection,Verbal
51231-01-035,Saadnayel 035,Bekaa,Zahle,Saadnayel,,33.8137,35.8961,IS- Informal Settlement,Active,4,31,12/22/15,Medair,Last Update - 2015,6/12/14,5/7/14,2,2,Borehole,Municipality Collection,Verbal
51231-01-036,Saadnayel 036,Bekaa,Zahle,Saadnayel,,33.814,35.8873,IS- Informal Settlement,Active,7,50,12/22/15,Medair,Last Update - 2015,6/25/14,6/15/14,0,0,Others,Municipality Collection,Verbal
51231-01-037,Saadnayel 037,Bekaa,Zahle,Saadnayel,,33.8142,35.8922,IS- Informal Settlement,Active,11,74,12/22/15,Medair,Last Update - 2015,6/25/14,5/25/13,4,4,Borehole,Municipality Collection,Verbal
51231-01-040,Saadnayel 040,Bekaa,Zahle,Saadnayel,,33.805,35.9012,IS- Informal Settlement,Less than 4,3,16,12/19/15,Medair,Last Update - 2015,8/11/14,10/29/12,2,2,Others,Municipality Collection,Verbal
51231-01-041,Saadnayel 041,Bekaa,Zahle,Saadnayel,,33.8063,35.8991,IS- Informal Settlement,Less than 4,1,4,12/19/15,Medair,Last Update - 2015,8/11/14,10/28/13,1,1,Water Trucking,Municipality Collection,Verbal
51231-01-042,Saadnayel 042,Bekaa,Zahle,Saadnayel,,33.8077,35.8986,IS- Informal Settlement,Active,19,124,12/19/15,Medair,Last Update - 2015,8/11/14,5/27/13,10,10,Borehole,Municipality Collection,Verbal
51231-01-043,Saadnayel 043,Bekaa,Zahle,Saadnayel,,33.8144,35.9018,IS- Informal Settlement,Active,19,102,12/19/15,Medair,Last Update - 2015,8/11/14,10/28/13,10,10,Others,Municipality Collection,Verbal
51231-01-044,Saadnayel 044,Bekaa,Zahle,Saadnayel,,33.8025,35.9002,IS- Informal Settlement,Active,4,30,12/19/15,Medair,Last Update - 2015,8/21/14,8/10/14,1,1,Borehole,Municipality Collection,Verbal
51231-01-045,Saadnayel 045,Bekaa,Zahle,Saadnayel,,33.8125,35.897,IS- Informal Settlement,Active,58,342,12/19/15,Medair,Last Update - 2015,8/13/14,4/13/14,31,31,Borehole,Municipality Collection,Verbal
51231-01-046,Saadnayel 046,Bekaa,Zahle,Saadnayel,,33.8087,35.8975,IS- Informal Settlement,Less than 4,2,26,12/19/15,Medair,Last Update - 2015,12/17/14,10/21/14,2,2,Water Trucking,Municipality Collection,Verbal
51231-01-047,Saadnayel 047,Bekaa,Zahle,Saadnayel,,33.8179,35.8793,IS- Informal Settlement,Active,4,22,12/19/15,Medair,Last Update - 2015,2/9/15,12/4/14,2,2,Borehole,Municipality Collection,Verbal
51231-01-048,Saadnayel 048,Bekaa,Zahle,Saadnayel,,33.8095,35.8893,IS- Informal Settlement,Active,38,211,12/22/15,Medair,Last Update - 2015,2/9/15,11/30/14,0,0,Borehole,Municipality Collection,Verbal
51231-01-049,Saadnayel 049,Bekaa,Zahle,Saadnayel,,33.8108,35.8959,IS- Informal Settlement,Less than 4,3,24,12/19/15,Medair,Last Update - 2015,3/19/15,12/26/14,3,3,Others,Municipality Collection,Verbal
51231-01-050,Saadnayel 050,Bekaa,Zahle,Saadnayel,,33.8096,35.8939,IS- Informal Settlement,Less than 4,3,17,12/22/15,Medair,Last Update - 2015,3/19/15,10/6/14,1,1,Water Trucking,Dump it outside the camp,Verbal
51231-01-052,Saadnayel 052,Bekaa,Zahle,Saadnayel,,33.8073,35.9092,IS- Informal Settlement,Less than 4,2,7,12/18/15,Medair,Last Update - 2015,4/7/15,3/24/15,1,1,Borehole,Municipality Collection,Verbal
51231-01-053,Saadnayel 053,Bekaa,Zahle,Saadnayel,,33.8104,35.8852,IS- Informal Settlement,Active,6,33,12/22/15,Medair,Last Update - 2015,6/12/15,7/26/12,3,3,Borehole,Municipality Collection,Verbal
51231-01-054,Saadnayel 054,Bekaa,Zahle,Saadnayel,,33.8075,35.9054,IS- Informal Settlement,Active,5,34,12/19/15,Medair,Last Update - 2015,6/16/15,4/16/13,3,3,Others,Municipality Collection,Verbal
51231-01-055,Saadnayel 055,Bekaa,Zahle,Saadnayel,,33.8069,35.9102,IS- Informal Settlement,Active,27,156,12/18/15,Medair,Last Update - 2015,5/29/15,12/14/13,13,13,Water Trucking,Municipality Collection,Verbal
51231-01-056,Saadnayel 056,Bekaa,Zahle,Saadnayel,,33.8065,35.9067,IS- Informal Settlement,Active,6,37,12/19/15,Medair,Last Update - 2015,6/18/15,5/15/15,2,2,Borehole,Municipality Collection,Verbal
51231-01-057,Saadnayel 057,Bekaa,Zahle,Saadnayel,,33.8137,35.8992,IS- Informal Settlement,Active,15,77,12/19/15,Medair,Last Update - 2015,7/1/15,9/17/14,6,6,Borehole,Municipality Collection,Verbal
51231-01-058,Saadnayel 058,Bekaa,Zahle,Saadnayel,,33.82,35.8874,IS- Informal Settlement,Active,12,72,12/22/15,Medair,Last Update - 2015,7/12/15,12/14/12,4,4,Water Trucking,Municipality Collection,Verbal
51231-01-059,Saadnayel 059,Bekaa,Zahle,Saadnayel,,33.811,35.9013,IS- Informal Settlement,Less than 4,2,9,12/19/15,Medair,Last Update - 2015,8/24/15,7/24/15,2,2,Borehole,Municipality Collection,Verbal
51231-01-060,Saadnayel 060,Bekaa,Zahle,Saadnayel,,33.80683,35.88604,IS- Informal Settlement,Less than 4,2,13,12/22/15,Medair,Last Update - 2015,10/12/15,9/30/15,2,2,Borehole,Municipality Collection,Verbal
51231-01-061,Saadnayel 061,Bekaa,Zahle,Saadnayel,,33.81409,35.89483,IS- Informal Settlement,Active,17,109,12/22/15,Medair,Last Update - 2015,10/14/15,9/15/15,17,17,Others,Municipality Collection,Verbal
51231-01-062,Saadnayel 062,Bekaa,Zahle,Saadnayel,,33.80886,35.8961,IS- Informal Settlement,Active,57,326,12/22/15,Medair,Last Update - 2015,10/15/15,9/26/15,48,48,Water Trucking,Municipality Collection,Verbal
51231-01-063,Saadnayel 063,Bekaa,Zahle,Saadnayel,,33.81332,35.89869,IS- Informal Settlement,Active,7,38,12/19/15,Medair,Last Update - 2015,11/24/15,11/24/14,6,6,Water Trucking,Municipality Collection,Verbal
51231-01-064,Saadnayel 064,Bekaa,Zahle,Saadnayel,,33.83009,35.87848,IS- Informal Settlement,Less than 4,2,12,12/19/15,Medair,Last Update - 2015,12/2/15,11/29/15,1,1,Water Trucking,Municipality Collection,Verbal
51231-01-065,Saadnayel 065,Bekaa,Zahle,Saadnayel,,33.8069,35.88762,IS- Informal Settlement,Less than 4,1,15,12/22/15,Medair,Last Update - 2015,12/2/15,11/19/15,1,1,Borehole,Municipality Collection,Verbal
51231-01-067,Saadnayel 067,Bekaa,Zahle,Saadnayel,,33.80692,35.89458,IS- Informal Settlement,Active,7,41,12/29/15,Medair,Last Update - 2015,12/29/15,12/26/15,6,6,Borehole,Dump it outside the camp,Verbal
51234-01-001,Qabb Elias 001,Bekaa,Zahle,Qabb Elias,Qab Elias 1,33.7808,35.8199,IS- Informal Settlement,Active,33,220,12/18/15,Medair,Last Update - 2015,4/24/14,2/28/11,20,20,Water Trucking,Municipality Collection,Verbal
51234-01-003,Qabb Elias 003,Bekaa,Zahle,Qabb Elias,Qab Elias 3,33.784,35.8218,IS- Informal Settlement,Active,39,220,12/18/15,Medair,Last Update - 2015,4/24/14,8/31/11,32,32,Water Trucking,Municipality Collection,Verbal
51234-01-004,Qabb Elias 004,Bekaa,Zahle,Qabb Elias,Qab Elias 5,33.793,35.8263,IS- Informal Settlement,Active,10,56,12/18/15,Medair,Last Update - 2015,4/16/14,8/9/10,8,8,Others,Municipality Collection,Verbal
51234-01-007,Qabb Elias 007,Bekaa,Zahle,Qabb Elias,Qab Elias 4,33.7847,35.8213,IS- Informal Settlement,Active,130,796,12/18/15,Medair,Last Update - 2015,4/24/14,3/31/11,119,119,Water Trucking,Municipality Collection,Written
51234-01-008,Qabb Elias 008,Bekaa,Zahle,Qabb Elias,qab elias,33.7815,35.8204,IS- Informal Settlement,Active,33,242,12/18/15,Medair,Last Update - 2015,4/24/14,3/14/12,20,20,Water Trucking,Municipality Collection,Verbal
51234-01-009,Qabb Elias 009,Bekaa,Zahle,Qabb Elias,qab elias,33.7854,35.8216,IS- Informal Settlement,Active,21,147,12/18/15,Medair,Last Update - 2015,4/24/14,2/28/13,21,21,Water Trucking,Municipality Collection,Written
51234-01-011,Qabb Elias 011,Bekaa,Zahle,Qabb Elias,quab elyass,33.7864,35.8231,IS- Informal Settlement,Active,9,61,12/18/15,Medair,Last Update - 2015,4/16/14,2/10/13,9,9,Others,Municipality Collection,Verbal
51234-01-014,Qabb Elias 014,Bekaa,Zahle,Qabb Elias,quab elyas,33.7887,35.845,IS- Informal Settlement,Active,15,92,12/18/15,Medair,Last Update - 2015,4/16/14,4/11/13,15,15,Others,Municipality Collection,Verbal
51234-01-015,Qabb Elias 015,Bekaa,Zahle,Qabb Elias,qusseir,33.7771,35.8139,IS- Informal Settlement,Active,11,72,12/18/15,Medair,Last Update - 2015,3/4/14,2/28/13,6,6,Others,Municipality Collection,Verbal
51234-01-016,Qabb Elias 016,Bekaa,Zahle,Qabb Elias,quab elyas,33.7773,35.8163,IS- Informal Settlement,Active,4,34,12/18/15,Medair,Last Update - 2015,3/7/14,6/7/13,2,2,Others,Dump it outside the camp,Verbal
51234-01-017,Qabb Elias 017,Bekaa,Zahle,Qabb Elias,,33.7765,35.8158,IS- Informal Settlement,Active,11,62,12/18/15,Medair,Last Update - 2015,3/7/14,2/7/13,11,11,Others,Dump it outside the camp,Verbal
51234-01-019,Qabb Elias 019,Bekaa,Zahle,Qabb Elias,,33.7843,35.8217,IS- Informal Settlement,Active,56,360,12/18/15,Medair,Last Update - 2015,4/24/14,2/19/14,52,52,Others,Municipality Collection,Verbal
51234-01-021,Qabb Elias 021,Bekaa,Zahle,Qabb Elias,,33.7876,35.8232,IS- Informal Settlement,Active,13,88,12/18/15,Medair,Last Update - 2015,4/16/14,1/10/12,13,13,Water Trucking,Municipality Collection,Verbal
51234-01-022,Qabb Elias 022,Bekaa,Zahle,Qabb Elias,,33.7867,35.8273,IS- Informal Settlement,Active,30,167,12/18/15,Medair,Last Update - 2015,4/16/14,12/3/13,26,26,Others,Municipality Collection,Verbal
51234-01-023,Qabb Elias 023,Bekaa,Zahle,Qabb Elias,,33.7831,35.8488,IS- Informal Settlement,Active,10,63,12/18/15,Medair,Last Update - 2015,4/16/14,1/3/14,10,10,Others,Dump it outside the camp,Verbal
51234-01-024,Qabb Elias 024,Bekaa,Zahle,Qabb Elias,,33.7893,35.8319,IS- Informal Settlement,Less than 4,2,20,12/18/15,Medair,Last Update - 2015,4/16/14,8/15/11,2,2,Borehole,Municipality Collection,Verbal
51234-01-025,Qabb Elias 025,Bekaa,Zahle,Qabb Elias,,33.786,35.829,IS- Informal Settlement,Active,13,95,12/18/15,Medair,Last Update - 2015,4/16/14,1/10/14,8,8,Others,Municipality Collection,Verbal
51234-01-026,Qabb Elias 026,Bekaa,Zahle,Qabb Elias,,33.7875,35.8274,IS- Informal Settlement,Active,35,199,12/18/15,Medair,Last Update - 2015,4/16/14,3/15/13,35,35,Others,Municipality Collection,Verbal
51234-01-027,Qabb Elias 027,Bekaa,Zahle,Qabb Elias,,33.7889,35.8238,IS- Informal Settlement,Less than 4,3,29,12/18/15,Medair,Last Update - 2015,4/16/14,3/15/13,2,2,Water Trucking,Municipality Collection,Verbal
51234-01-028,Qabb Elias 028,Bekaa,Zahle,Qabb Elias,,33.7883,35.8232,IS- Informal Settlement,Active,9,68,12/18/15,Medair,Last Update - 2015,4/16/14,6/15/13,3,3,Others,Municipality Collection,Verbal
51234-01-029,Qabb Elias 029,Bekaa,Zahle,Qabb Elias,,33.787,35.8234,IS- Informal Settlement,Active,21,136,12/18/15,Medair,Last Update - 2015,4/16/14,3/15/12,13,13,Water Trucking,Municipality Collection,Verbal
51234-01-030,Qabb Elias 030,Bekaa,Zahle,Qabb Elias,,33.7705,35.8119,IS- Informal Settlement,Active,7,42,12/18/15,Medair,Last Update - 2015,4/22/14,9/3/13,5,5,Others,Dump it outside the camp,Verbal
51234-01-031,Qabb Elias 031,Bekaa,Zahle,Qabb Elias,,33.779,35.8203,IS- Informal Settlement,Active,23,190,12/18/15,Medair,Last Update - 2015,4/24/14,2/23/13,20,20,Water Trucking,Municipality Collection,Verbal
51234-01-032,Qabb Elias 032,Bekaa,Zahle,Qabb Elias,,33.7808,35.8226,IS- Informal Settlement,Active,21,165,12/18/15,Medair,Last Update - 2015,4/24/14,4/8/14,12,12,Others,Municipality Collection,Verbal
51234-01-033,Qabb Elias 033,Bekaa,Zahle,Qabb Elias,,33.7834,35.8254,IS- Informal Settlement,Less than 4,2,17,12/18/15,Medair,Last Update - 2015,4/24/14,4/23/13,2,2,Water Trucking,Municipality Collection,Verbal
51234-01-036,Qabb Elias 036,Bekaa,Zahle,Qabb Elias,,33.7848,35.8281,IS- Informal Settlement,Less than 4,1,11,12/18/15,Medair,Last Update - 2015,8/12/14,4/9/14,1,1,Others,Municipality Collection,Verbal
51234-01-040,Qabb Elias 040,Bekaa,Zahle,Qabb Elias,,33.7813,35.8344,IS- Informal Settlement,Less than 4,1,5,12/18/15,Medair,Last Update - 2015,8/12/14,2/2/14,1,1,Others,Municipality Collection,Verbal
51234-01-041,Qabb Elias 041,Bekaa,Zahle,Qabb Elias,,33.781,35.8329,IS- Informal Settlement,Less than 4,3,19,12/18/15,Medair,Last Update - 2015,8/12/14,2/12/14,2,2,Others,Municipality Collection,None
51234-01-042,Qabb Elias 042,Bekaa,Zahle,Qabb Elias,,33.788,35.8246,IS- Informal Settlement,Less than 4,1,7,12/18/15,Medair,Last Update - 2015,8/12/14,2/12/14,1,1,Water Trucking,Municipality Collection,Verbal
51234-01-043,Qabb Elias 043,Bekaa,Zahle,Qabb Elias,,33.7902,35.8238,IS- Informal Settlement,Less than 4,1,5,12/18/15,Medair,Last Update - 2015,8/12/14,8/12/12,1,1,Water Trucking,Municipality Collection,Verbal
51234-01-044,Qabb Elias 044,Bekaa,Zahle,Qabb Elias,,33.7868,35.8218,IS- Informal Settlement,Less than 4,3,13,12/18/15,Medair,Last Update - 2015,8/13/14,5/13/13,1,1,Others,Municipality Collection,None
51234-01-045,Qabb Elias 045,Bekaa,Zahle,Qabb Elias,,33.7748,35.8401,IS- Informal Settlement,Less than 4,2,28,12/18/15,Medair,Last Update - 2015,8/12/14,5/12/14,2,2,Others,Municipality Collection,Verbal
51234-01-046,Qabb Elias 046,Bekaa,Zahle,Qabb Elias,,33.7885,35.8262,IS- Informal Settlement,Less than 4,2,7,12/18/15,Medair,Last Update - 2015,10/26/14,10/26/14,1,1,Water Trucking,Burn it,Verbal
51234-01-047,Qabb Elias 047,Bekaa,Zahle,Qabb Elias,,33.7822,35.826,IS- Informal Settlement,Less than 4,2,18,12/18/15,Medair,Last Update - 2015,10/26/14,9/7/14,2,2,Others,Municipality Collection,None
51234-01-048,Qabb Elias 048,Bekaa,Zahle,Qabb Elias,,33.7871,35.8237,IS- Informal Settlement,Active,17,121,12/18/15,Medair,Last Update - 2015,10/26/14,8/30/14,17,17,Others,Municipality Collection,Verbal
51234-01-050,Qabb Elias 050,Bekaa,Zahle,Qabb Elias,,33.7751,35.8284,IS- Informal Settlement,Active,5,40,12/18/15,Medair,Last Update - 2015,3/12/15,4/4/12,3,3,Others,Dump it outside the camp,Verbal
51234-01-052,Qabb Elias 052,Bekaa,Zahle,Qabb Elias,,33.7803,35.8286,IS- Informal Settlement,Less than 4,3,16,12/18/15,Medair,Last Update - 2015,3/12/15,12/2/14,3,3,Borehole,Municipality Collection,Verbal
51234-01-053,Qabb Elias 053,Bekaa,Zahle,Qabb Elias,,33.778,35.8287,IS- Informal Settlement,Less than 4,2,11,12/18/15,Medair,Last Update - 2015,3/12/15,2/9/15,1,1,Others,Dump it outside the camp,Verbal
51234-01-055,Qabb Elias 055,Bekaa,Zahle,Qabb Elias,,33.7858,35.8191,IS- Informal Settlement,Less than 4,2,17,12/18/15,Medair,Last Update - 2015,3/12/15,2/3/15,2,2,Others,Municipality Collection,Verbal
51234-01-056,Qabb Elias 056,Bekaa,Zahle,Qabb Elias,,33.7883,35.8215,IS- Informal Settlement,Less than 4,2,8,12/18/15,Medair,Last Update - 2015,3/12/15,2/24/15,1,1,Borehole,Municipality Collection,Verbal
51234-01-057,Qabb Elias 057,Bekaa,Zahle,Qabb Elias,,33.7902,35.8257,IS- Informal Settlement,Less than 4,3,26,12/18/15,Medair,Last Update - 2015,3/12/15,3/27/13,2,2,Water Trucking,Municipality Collection,Verbal
